Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
,,603020,,,,,,,,,,,,,,,
,,603077,,,,,,,,,,,,,,,
,,603088,,,,,,,,,,,,,,,
,,603100,,,,,,,,,,,,,,,
,,603111,,,,,,,,,,,,,,,
,,603118,,,,,,,,,,,,,,,
,,603158,,,,,,,,,,,,,,,
,,603166,,,,,,,,,,,,,,,
,,603168,,,,,,,,,,,,,,,
,,603169,,,,,,,,,,,,,,,
,,603188,,,,,,,,,,,,,,,
,,603222,,,,,,,,,,,,,,,
,,603268,,,,,,,,,,,,,,,
,,603288,,,,,,,,,,,,,,,
,,603306,,,,,,,,,,,,,,,
,,603308,,,,,,,,,,,,,,,
,,603309,,,,,,,,,,,,,,,
,,603328,,,,,,,,,,,,,,,
,,603333,,,,,,,,,,,,,,,
,,603338,,,,,,,,,,,,,,,
,,603366,,,,,,,,,,,,,,,
,,603369,,,,,,,,,,,,,,,
,,603399,,,,,,,,,,,,,,,
,,603456,,,,,,,,,,,,,,,
,,603518,,,,,,,,,,,,,,,
,,603519,,,,,,,,,,,,,,,
,,603555,,,,,,,,,,,,,,,
,,603558,,,,,,,,,,,,,,,
,,603600,,,,,,,,,,,,,,,
,,603601,,,,,,,,,,,,,,,
,,603606,,,,,,,,,,,,,,,
,,603609,,,,,,,,,,,,,,,
,,603611,,,,,,,,,,,,,,,
,,603618,,,,,,,,,,,,,,,
,,603678,,,,,,,,,,,,,,,
,,603686,,,,,,,,,,,,,,,
,,603688,,,,,,,,,,,,,,,
,,603699,,,,,,,,,,,,,,,
,,603766,,,,,,,,,,,,,,,
,,603788,,,,,,,,,,,,,,,
,,603799,,,,,,,,,,,,,,,
,,603806,,,,,,,,,,,,,,,
,,603889,,,,,,,,,,,,,,,
,,603898,,,,,,,,,,,,,,,
,,603899,,,,,,,,,,,,,,,
,,603969,,,,,,,,,,,,,,,
,,603988,,,,,,,,,,,,,,,
,,603997,,,,,,,,,,,,,,,
,,603998,,,,,,,,,,,,,,,
