date,600079.ss,600080.ss,600081.ss,600083.ss,600084.ss,600085.ss,600086.ss,600089.ss,600090.ss,600091.ss,600093.ss,600095.ss,600096.ss,600099.ss,600100.ss,600103.ss,600104.ss,600105.ss,600107.ss,600110.ss,600111.ss,600112.ss,600114.ss,600117.ss,600118.ss,600126.ss,600127.ss,600129.ss,600130.ss,600132.ss,600135.ss,600137.ss,600141.ss,600143.ss,600145.ss,600146.ss,600148.ss,600150.ss,600151.ss,600152.ss
2015-3-6,-0.007738896,0.00631769,0.002536462,0,-0.02,-0.020869565,-0.000368732,0.011599006,0,0,-0.047709924,0,0.010844307,0.029774127,-0.014695591,-0.012437811,-0.024892704,-0.007070707,0.022421525,-0.038516405,0.014946814,0,-0.025407074,-0.003731343,0.005445285,0,-0.012903226,0,0.010432191,-0.008917955,-0.04839764,0.039350713,-0.018607443,-0.022008253,0.050682261,-0.004502251,-0.031760859,0,-0.041940789,-0.02453271
2015-3-5,0.014680778,-0.009830206,0.008957134,0,0.011804384,-0.011177988,-0.031082529,-0.017100977,0,0.02800659,0.100069979,0.099744246,0.04196933,0.010373444,-0.027891156,-0.019512195,-0.020596889,-0.01,0.02764977,0.036982249,-0.015870485,0,0.026755878,-0.007407407,-0.025897122,0,-0.014308426,0,-0.017569546,0.008393285,0.063282129,0.006934126,0.018960245,0.052098408,0.021912351,0.007052897,-0.021480804,-0.028890706,0,0.022700119
2015-3-4,0.02520126,0.029438822,0.010342599,0,0.008503401,0.017497813,-0.007094714,0.003267974,0,0.05017301,0.004216444,0.077134986,0.008957655,0.009424084,0.005471956,-0.004854369,0.014931741,0.002004008,-0.003673095,0.013493253,-0.005002045,0,0.014935416,0.013133208,-0.010497175,0,0.043117745,0,0.020926756,0.008464329,0.019858424,0.036447639,0.012383901,0.011713031,0.001996008,-0.002512563,0.015784587,0.006308283,0.008291874,0.028255528
2015-3-3,-0.034144692,-0.007305936,-0.01964512,0,0.008576329,0.017809439,0.014028777,-0.025477707,0,-0.015332198,0.054074074,0,-0.042868277,-0.008307373,-0.03879027,0.03,-0.034596376,-0.023483366,-0.006386861,-0.007440476,0.004642345,0,-0.009414569,-0.018416206,0.005900554,0,-0.009852217,0,-0.029027576,-0.003614458,0.037527737,0.06273868,-0.010416667,-0.027065527,-0.013779528,0.012207528,0.011267606,-0.014328197,0.057894737,-0.015719468
2015-3-2,-0.005714286,0.022408964,0.006377551,0,0.013913043,-0.003549246,0.023187339,0.030352748,0,0.017331023,0.100244499,0.034188034,0.00785546,0.013684211,0.00862069,-0.004975124,-0.003284072,0.032323232,-0.018800358,0,0.006224208,0,0.00881905,0.036259542,0.01289729,0,0.00661157,0,0.007309942,0.011578306,0.025659961,0.016075388,0.010526316,0.007173601,0.022132797,-0.019940179,0.000469704,0.007901907,0.02425876,0.038944724
2015-2-27,0.016746411,-0.008333333,0.028871391,0,0.005244755,-0.000886525,-0.007669832,-0.004084967,0,0.008741259,0.029362416,-0.008474576,-0.007020281,-0.00210084,0.018230925,-0.007407407,-0.014563107,0.010204082,0.007213706,0.046728972,0.023913523,0,-0.012063785,0.0234375,0.051604193,0,0.010016694,0,0.00736377,-0.004851425,0.002269699,0.006696429,-0.010416667,0.001436782,0.022633745,0.008547009,0.018660287,0.009350935,0.016438356,-0.001254705
2015-2-26,-0.001705902,0.019830028,-0.009746589,0,0.01598579,0.010300045,-0.005087209,0.03030303,0,0.007042254,0.024054983,0.001414427,0.005490196,0.022556391,0.013689254,0.004962779,0.023178808,-0.00203666,0.00543971,0.007849294,0.031239534,-0.000694444,0.027548246,0.009861933,0.011713742,0,0.006722689,0,0.001474926,0.001214329,0.004558568,-0.008301051,0.009276438,0.002881844,0.004132231,-0.012903226,0.014563107,0.020488353,0.003666361,0.007585335
2015-2-25,0.008602891,0.017291066,0.003259452,0,0,-0.010633584,-0.005780347,-0.01,0,-0.010452962,0.100189036,0.024637681,0.0111023,-0.001072961,-0.031167109,-0.017073171,0.024162781,0.003064351,0.002727273,0.001572327,-0.014981649,-0.001386963,0.005539753,0.009960159,0.023287569,0,0.001683502,0,0.077901431,0.010429448,0.015432301,0.01346046,-0.002467613,0.032738095,-0.004115226,-0.006410256,0.030515258,0.006212934,0.032166509,0
2015-2-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
